sample_id,organ,platform,dataset_title,n_spots_metadata,n_genes_metadata,has_features,has_counts,has_coords,has_size_factor,ready_for_training
NCBI600,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",832,33538,False,True,True,True,False
NCBI601,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",1469,33538,False,True,True,True,False
NCBI602,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",1017,33538,False,True,True,True,False
NCBI603,Bladder,Visium,"A new epithelial cell subpopulation predicts response to surgery, chemotherapy, and immunotherapy in bladder cancer",768,33538,False,True,True,True,False
NCBI854,Bladder,Visium,Batf3-dendritic cells and 4-1BB-4-1BB ligand axis are required at the effector phase within the tumor microenvironment for PD-1-PD-L1 blockade efficacy,699,17943,False,True,True,True,False
NCBI855,Bladder,Visium,Batf3-dendritic cells and 4-1BB-4-1BB ligand axis are required at the effector phase within the tumor microenvironment for PD-1-PD-L1 blockade efficacy,1432,17943,False,True,True,True,False
MISC33,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3385,18729,False,True,True,True,False
MISC34,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3731,19276,False,True,True,True,False
MISC35,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3578,19061,False,True,True,True,False
MISC36,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3502,19119,False,True,True,True,False
MISC37,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3636,19396,False,True,True,True,False
MISC38,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1727,19366,False,True,True,True,False
MISC39,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4078,19234,False,True,True,True,False
MISC40,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4116,19352,False,True,True,True,False
MISC41,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3708,19255,False,True,True,True,False
MISC42,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,659,19304,False,True,True,True,False
MISC43,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1186,19121,False,True,True,True,False
MISC44,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,932,18518,False,True,True,True,False
MISC45,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4118,19270,False,True,True,True,False
MISC46,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4511,19337,False,True,True,True,False
MISC47,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4818,19327,False,True,True,True,False
MISC48,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3577,19111,False,True,True,True,False
MISC49,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4624,19330,False,True,True,True,False
MISC50,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4297,18776,False,True,True,True,False
MISC51,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3076,19174,False,True,True,True,False
MISC52,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,229,19284,False,True,True,True,False
MISC53,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,818,19315,False,True,True,True,False
MISC54,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,668,19266,False,True,True,True,False
MISC55,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,863,19175,False,True,True,True,False
MISC56,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3395,19338,False,True,True,True,False
MISC57,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,989,19165,False,True,True,True,False
MISC58,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1165,19259,False,True,True,True,False
MISC59,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1312,19305,False,True,True,True,False
MISC60,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,1014,19255,False,True,True,True,False
MISC61,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2047,19343,False,True,True,True,False
MISC62,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4132,19391,False,True,True,True,False
MISC63,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3467,19346,False,True,True,True,False
MISC64,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2533,19411,False,True,True,True,False
MISC65,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3261,19402,False,True,True,True,False
MISC66,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3970,19347,False,True,True,True,False
MISC67,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2551,19384,False,True,True,True,False
MISC68,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2708,19359,False,True,True,True,False
MISC69,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3634,19263,False,True,True,True,False
MISC70,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3934,19116,False,True,True,True,False
MISC71,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,2997,19251,False,True,True,True,False
MISC72,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,4369,19310,False,True,True,True,False
MISC73,Bowel,Visium,COLON MAP: Colon Molecular Atlas Project,3901,19074,False,True,True,True,False
TENX152,Bowel,Visium,Characterization of immune cell populations in the tumor microenvironment of colorectal cancer using high definition spatial profiling,4269,18085,False,True,True,True,False
ZEN36,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1691,36601,False,True,True,True,False
ZEN37,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1656,36601,False,True,True,True,False
ZEN38,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,387,36601,False,True,True,True,False
ZEN39,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1219,36601,False,True,True,True,False
ZEN40,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,2128,36601,False,True,True,True,False
ZEN41,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1685,36601,False,True,True,True,False
ZEN42,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1192,36601,False,True,True,True,False
ZEN43,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,691,36601,False,True,True,True,False
ZEN44,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1048,36601,False,True,True,True,False
ZEN45,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,328,36601,False,True,True,True,False
ZEN46,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,1803,36601,False,True,True,True,False
ZEN47,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,2317,36601,False,True,True,True,False
ZEN48,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,2385,36601,False,True,True,True,False
ZEN49,Bowel,Visium,Charting the Heterogeneity of Colorectal Cancer Consensus Molecular Subtypes using Spatial Transcriptomics: datasets,2203,36601,False,True,True,True,False
TENX70,Bowel,Visium,"Human Colorectal Cancer, 11 mm Capture Area (FFPE)",9080,18085,False,True,True,True,False
TENX28,Bowel,Visium,"Human Colorectal Cancer: Targeted, Gene Signature Panel",3138,1142,False,True,True,True,False
TENX29,Bowel,Visium,Human Colorectal Cancer: Whole Transcriptome Analysis,3138,36601,False,True,True,True,False
TENX49,Bowel,Visium,Human Intestine Cancer (FPPE),2660,17943,False,True,True,True,False
MEND33,Bowel,Visium,"Human ileum, Visium",3291,33538,False,True,True,True,False
MEND34,Bowel,Visium,"Human ileum, Visium",3294,33538,False,True,True,True,False
MEND35,Bowel,Visium,"Human ileum, Visium",3320,33538,False,True,True,True,False
MEND36,Bowel,Visium,"Human ileum, Visium",3214,33538,False,True,True,True,False
MEND91,Bowel,Visium,Spatially resolved transcriptomic profiling of degraded,1154,17943,False,True,True,True,False
MEND92,Bowel,Visium,Spatially resolved transcriptomic profiling of degraded,1071,17943,False,True,True,True,False
MEND93,Bowel,Visium,Spatially resolved transcriptomic profiling of degraded,3742,17943,False,True,True,True,False
MEND95,Bowel,Visium,Spatially resolved transcriptomic profiling of degraded,1738,36601,False,True,True,True,False
MEND96,Bowel,Visium,Spatially resolved transcriptomic profiling of degraded,3360,17943,False,True,True,True,False
TENX89,Bowel,Visium,Visium CytAssist Gene Expression Libraries of Post-Xenium Human Colon Cancer (FFPE),6414,18085,False,True,True,True,False
TENX90,Bowel,Visium,Visium CytAssist Gene Expression Libraries of Post-Xenium Human Colon Cancer (FFPE),6487,18085,False,True,True,True,False
TENX91,Bowel,Visium,Visium CytAssist Gene Expression Libraries of Post-Xenium Human Colon Cancer (FFPE),6352,18085,False,True,True,True,False
TENX92,Bowel,Visium,Visium CytAssist Gene Expression Libraries of Post-Xenium Human Colon Cancer (FFPE),6518,18085,False,True,True,True,False
TENX73,Brain,Visium,"Human Brain Cancer, 11 mm Capture Area (FFPE)",10878,18085,False,True,True,True,False
TENX56,Brain,Visium,"Human Cerebellum: Targeted, Neuroscience Panel",4992,1186,False,True,True,True,False
TENX27,Brain,Visium,Human Cerebellum: Whole Transcriptome Analysis,4992,1186,False,True,True,True,False
TENX30,Brain,Visium,"Human Glioblastoma: Targeted, Pan-Cancer Panel",3468,1253,False,True,True,True,False
TENX31,Brain,Visium,Human Glioblastoma: Whole Transcriptome Analysis,3468,36601,False,True,True,True,False
NCBI653,Brain,Visium,Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,4633,17943,False,True,True,True,False
NCBI654,Brain,Visium,Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,4868,17943,False,True,True,True,False
NCBI655,Brain,Visium,Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,4984,17943,False,True,True,True,False
NCBI656,Brain,Visium,Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,4968,17943,False,True,True,True,False
NCBI657,Brain,Visium,Spatial Multimodal Analysis: MALDI-MSI and Spatial Transcriptomics within the same tissue section,3900,36601,False,True,True,True,False
NCBI628,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,1262,36601,False,True,True,True,False
NCBI629,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,3620,36601,False,True,True,True,False
NCBI630,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,2961,36601,False,True,True,True,False
NCBI631,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,2051,36601,False,True,True,True,False
NCBI632,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,2743,36601,False,True,True,True,False
NCBI633,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,3153,36601,False,True,True,True,False
NCBI634,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,1842,36601,False,True,True,True,False
NCBI635,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,3027,36601,False,True,True,True,False
NCBI636,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,1616,36601,False,True,True,True,False
NCBI637,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,2705,36601,False,True,True,True,False
NCBI638,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,3060,36601,False,True,True,True,False
NCBI639,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,979,36601,False,True,True,True,False
NCBI640,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,1959,36601,False,True,True,True,False
NCBI641,Brain,Visium,Spatial transcriptomics reveal unnresolved wound repair as potential driver of PFA Ependymoma progression,2236,36601,False,True,True,True,False
MEND63,Brain,Visium,Spatially resolved transcriptomic profiling of degraded,1433,17943,False,True,True,True,False
MEND64,Brain,Visium,Spatially resolved transcriptomic profiling of degraded,1943,17943,False,True,True,True,False
MEND65,Brain,Visium,Spatially resolved transcriptomic profiling of degraded,1323,17943,False,True,True,True,False
MEND66,Brain,Visium,Spatially resolved transcriptomic profiling of degraded,1238,17943,False,True,True,True,False
MEND67,Brain,Visium,Spatially resolved transcriptomic profiling of degraded,1702,36601,False,True,True,True,False
MEND68,Brain,Visium,Spatially resolved transcriptomic profiling of degraded,1490,36601,False,True,True,True,False
MISC1,Brain,Visium,spatialLIBD,3460,33538,False,True,True,True,False
MISC10,Brain,Visium,spatialLIBD,4789,33538,False,True,True,True,False
MISC11,Brain,Visium,spatialLIBD,4384,33538,False,True,True,True,False
MISC12,Brain,Visium,spatialLIBD,4226,33538,False,True,True,True,False
MISC2,Brain,Visium,spatialLIBD,3592,33538,False,True,True,True,False
MISC3,Brain,Visium,spatialLIBD,3673,33538,False,True,True,True,False
MISC4,Brain,Visium,spatialLIBD,3639,33538,False,True,True,True,False
MISC5,Brain,Visium,spatialLIBD,4015,33538,False,True,True,True,False
MISC6,Brain,Visium,spatialLIBD,4110,33538,False,True,True,True,False
MISC7,Brain,Visium,spatialLIBD,3498,33538,False,True,True,True,False
MISC8,Brain,Visium,spatialLIBD,3661,33538,False,True,True,True,False
MISC9,Brain,Visium,spatialLIBD,4634,33538,False,True,True,True,False
TENX68,Breast,Visium,"Fresh Frozen Visium on CytAssist: Human Breast Cancer, Probe-Based Whole Transcriptome Profiling",1657,18085,False,True,True,True,False
NCBI776,Breast,Visium,"High resolution mapping of the tumor microenvironment using integrated single-cell, spatial and in situ analysis [scRNA-seq and Visium]",4992,18085,False,True,True,True,False
TENX13,Breast,Visium,Human Breast Cancer (Block A Section 1),3813,33538,False,True,True,True,False
TENX14,Breast,Visium,Human Breast Cancer (Block A Section 2),4015,33538,False,True,True,True,False
TENX39,Breast,Visium,"Human Breast Cancer: Ductal Carcinoma In Situ, Invasive Carcinoma (FFPE)",2518,17943,False,True,True,True,False
TENX23,Breast,Visium,"Human Breast Cancer: Targeted, Immunology Panel",4325,1056,False,True,True,True,False
TENX53,Breast,Visium,"Human Breast Cancer: Visium Fresh Frozen, Whole Transcriptome",4898,36601,False,True,True,True,False
TENX24,Breast,Visium,Human Breast Cancer: Whole Transcriptome Analysis,4325,32285,False,True,True,True,False
TENX50,Cervix,Visium,Human Cervical Cancer (FFPE),2781,17943,False,True,True,True,False
NCBI1,Cervix,Visium,Spatiotemporally Deciphering the Unknown Role of Persistent HPV Infection in Precancer to Cervical Cancer Progression: Integrating Single-Cell RNA-Sequencing Landscape and Spatial Transcriptomics Atlas [Spatial Transcriptomics],1593,20615,False,True,True,True,False
NCBI2,Cervix,Visium,Spatiotemporally Deciphering the Unknown Role of Persistent HPV Infection in Precancer to Cervical Cancer Progression: Integrating Single-Cell RNA-Sequencing Landscape and Spatial Transcriptomics Atlas [Spatial Transcriptomics],1757,20615,False,True,True,True,False
NCBI3,Cervix,Visium,Spatiotemporally Deciphering the Unknown Role of Persistent HPV Infection in Precancer to Cervical Cancer Progression: Integrating Single-Cell RNA-Sequencing Landscape and Spatial Transcriptomics Atlas [Spatial Transcriptomics],579,20615,False,True,True,True,False
NCBI4,Cervix,Visium,Spatiotemporally Deciphering the Unknown Role of Persistent HPV Infection in Precancer to Cervical Cancer Progression: Integrating Single-Cell RNA-Sequencing Landscape and Spatial Transcriptomics Atlas [Spatial Transcriptomics],1054,20615,False,True,True,True,False
NCBI591,Eye,Visium,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS,663,36601,False,True,True,True,False
NCBI592,Eye,Visium,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS,721,36601,False,True,True,True,False
NCBI593,Eye,Visium,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS,724,36601,False,True,True,True,False
NCBI594,Eye,Visium,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS,1307,36601,False,True,True,True,False
NCBI595,Eye,Visium,GENE EXPRESSION WITHIN A HUMAN CHOROIDAL NEOVASCULAR MEMBRANE USING SPATIAL TRANSCRIPTOMICS,1303,36601,False,True,True,True,False
NCBI771,Eye,Visium,Spatial transcriptomics of adenoid cystic carcinoma of the lacrimal gland,3584,17943,False,True,True,True,False
TENX15,Heart,Visium,Human Heart,4247,36601,False,True,True,True,False
MISC101,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1236,33538,False,True,True,True,False
MISC102,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1166,33538,False,True,True,True,False
MISC103,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1735,33538,False,True,True,True,False
MISC104,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2073,33538,False,True,True,True,False
MISC105,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1035,33538,False,True,True,True,False
MISC106,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2260,33538,False,True,True,True,False
MISC107,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2152,33538,False,True,True,True,False
MISC108,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1249,33538,False,True,True,True,False
MISC109,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1252,33538,False,True,True,True,False
MISC110,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1225,33538,False,True,True,True,False
MISC111,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2037,33538,False,True,True,True,False
MISC112,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1564,33538,False,True,True,True,False
MISC113,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2955,33538,False,True,True,True,False
MISC114,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2177,33538,False,True,True,True,False
MISC115,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1040,33538,False,True,True,True,False
MISC116,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1831,33538,False,True,True,True,False
MISC117,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2891,33538,False,True,True,True,False
MISC118,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2881,33538,False,True,True,True,False
MISC119,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3448,33538,False,True,True,True,False
MISC120,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3400,33538,False,True,True,True,False
MISC121,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3052,33538,False,True,True,True,False
MISC122,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3430,33538,False,True,True,True,False
MISC123,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2852,33538,False,True,True,True,False
MISC124,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2942,33538,False,True,True,True,False
MISC125,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3478,33538,False,True,True,True,False
MISC126,Heart,Visium,Spatially resolved multiomics of human cardiac niches,4521,33538,False,True,True,True,False
MISC127,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3802,33538,False,True,True,True,False
MISC128,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3982,17922,False,True,True,True,False
MISC129,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3533,17922,False,True,True,True,False
MISC130,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3533,17922,False,True,True,True,False
MISC131,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2807,33538,False,True,True,True,False
MISC132,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2843,33538,False,True,True,True,False
MISC133,Heart,Visium,Spatially resolved multiomics of human cardiac niches,3153,33538,False,True,True,True,False
MISC134,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2338,33538,False,True,True,True,False
MISC135,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2697,33538,False,True,True,True,False
MISC136,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2090,33538,False,True,True,True,False
MISC138,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2199,33538,False,True,True,True,False
MISC139,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2562,33538,False,True,True,True,False
MISC140,Heart,Visium,Spatially resolved multiomics of human cardiac niches,2168,33538,False,True,True,True,False
MISC141,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1702,33538,False,True,True,True,False
MISC142,Heart,Visium,Spatially resolved multiomics of human cardiac niches,1302,33538,False,True,True,True,False
NCBI562,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,2468,36601,False,True,True,True,False
NCBI563,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,1376,36601,False,True,True,True,False
NCBI564,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,262,36601,False,True,True,True,False
NCBI565,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,1085,36601,False,True,True,True,False
NCBI566,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,939,36601,False,True,True,True,False
NCBI567,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,817,36601,False,True,True,True,False
NCBI568,Kidney,Visium,A Spatial Transcriptomic atlas of the human kidney papilla identifies significant immune injury in patients with stone disease,2438,36601,False,True,True,True,False
NCBI538,Kidney,Visium,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues,469,33538,False,True,True,True,False
NCBI539,Kidney,Visium,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues,475,33538,False,True,True,True,False
NCBI540,Kidney,Visium,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues,413,33538,False,True,True,True,False
MEND48,Kidney,Visium,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues: Supplementary Data,475,33538,False,True,True,True,False
MEND49,Kidney,Visium,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues: Supplementary Data,413,33538,False,True,True,True,False
MEND54,Kidney,Visium,Genome-wide Spatial Expression Profiling in Formalin-fixed Tissues: Supplementary Data,469,33538,False,True,True,True,False
TENX71,Kidney,Visium,"Human Kidney, 11 mm Capture Area (FFPE)",5936,18085,False,True,True,True,False
NCBI599,Kidney,Visium,Integration of spatial and single cell transcriptomics localizes epithelial-immune cross-talk in kidney injury,3007,33538,False,True,True,True,False
NCBI692,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],370,36601,False,True,True,True,False
NCBI693,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],507,36601,False,True,True,True,False
NCBI694,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],640,36601,False,True,True,True,False
NCBI695,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],673,36601,False,True,True,True,False
NCBI696,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],645,36601,False,True,True,True,False
NCBI697,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],317,36601,False,True,True,True,False
NCBI698,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],407,36601,False,True,True,True,False
NCBI699,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],787,36601,False,True,True,True,False
NCBI700,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],601,36601,False,True,True,True,False
NCBI701,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],904,36601,False,True,True,True,False
NCBI702,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],461,36601,False,True,True,True,False
NCBI703,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],453,36601,False,True,True,True,False
NCBI704,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],534,36601,False,True,True,True,False
NCBI705,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],560,36601,False,True,True,True,False
NCBI706,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],673,36601,False,True,True,True,False
NCBI707,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],673,36601,False,True,True,True,False
NCBI708,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],1322,36601,False,True,True,True,False
NCBI709,Kidney,Visium,Spatial localization with Spatial Transcriptomics for an atlas of healthy and injured cell states and niches in the human kidney [Visium ST],1034,36601,False,True,True,True,False
